Faction,Shared?,Expansion,Title,Technology,Unlock Condition,Timing Window,Payment Type,Cost,Payment Connector,Cost Type,Payment Qualifier,Reward Type,Reward Modifier,Reward Wording,Card Color,Starfield Color,Gradient Color
Muaat,,Base,Magmus Research,Magmus Reactor,Have a ship in each of 2 systems that contain or are adjacent to a supernova.,At the start of the status phase,spend,3,,resources,,research,,"At the start of the status phase, you may purge this card and spend 3 resources to research your Magmus Reactor faction technology.",fc3800,fc3800,fc3800
Muaat,,Base,War Sun Research,Prototype War Sun II,Win a combat in a system that contains 1 of your War Suns.,At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Prototype War Sun II faction technology.",fc3800,fc3800,fc3800
Hacan,,Base,Datahub Node Research,Quantum Datahub Node,Be neighbors with all players and have performed a transaction with all other players over the course of the game. (Track this with other player's control markers),At the start of the status phase,spend,6,,trade goods,,research,,"At the start of the status phase, you may purge this card and spend 6 trade goods to research your Quantum Datahub Node faction technology.",fed600,fed600,fed600
Hacan,,Base,Biomes Research,Production Biomes,Spend 20 total trade goods during the course of the game over the course of the game. (Track this by placing all spent trade goods on this card.),At the start of the status phase,spend,4,,trade goods,,gain,,"At the start of the status phase, you may purge this card and spend 4 trade goods to gain your Production Biomes faction technology.",fed600,fed600,fed600
Empyrean,,PoK,Aetherstream Research,Aether Stream,Have at least 1 ship in each of 3 systems that contain no planets.,At the start of the status phase,spend,5,,resources,,research,,"At the start of the status phase, you may purge this card and spend 5 resources to research your Aether Stream faction technology.",823ebe,823ebe,823ebe
Empyrean,,PoK,Voidwatch Research,Voidwatch,Give a total of 4 promissory notes to other players over the course of the game. (Track this by placing trade good tokens on this card.),At the start of the status phase,spend,4,,influence,,research,,"At the start of the status phase, you may purge this card and spend 4 influence to research your Voidwatch faction technology.",823ebe,823ebe,823ebe
Sol,,Base,Carrier Research,Sol Carrier II,Have a carrier in each of 3 systems that do not contain a space dock.,At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Sol Carrier II faction technology.",00a3fe,00a3fe,00a3fe
Sol,,Base,Spec Ops Research,Spec Ops II,Have at least 2 infantry on each of 6 planets.,At the start of the status phase,spend,2,,resources,,research,,"At the start of the status phase, you may purge this card and spend 2 resources to research your Spec Ops II faction technology.",00a3fe,00a3fe,00a3fe
Creuss,,Base,Splicer Research,Dimensional Splicer,Win a combat in a system that contains a wormhole.,At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Dimensional Splicer faction technology.",0059fa,0059fa,0059fa
Creuss,,Base,Generator Research,Wormhole Generator,Have at least 1 unit in each of 3 different systems that each contain a different wormhole type.,At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Wormhole Generator faction technology.",0059fa,0059fa,0059fa
Ghoti,,DS+,Command Research,Networked Command,Have at least 3 ships in each of 4 systems.,At the start of the status phase,spend,3,,influence,,research,,"At the start of the status phase, you may purge this card and spend 3 influence to research your Networked Command faction technology.",40a3a2,40a3a2,40a3a2
Ghoti,,DS+,Production Research,Parallel Production,Have a ship in each of 5 systems adjacent to a system that contains 1 of your units with PRODUCTION.,At the start of the status phase,spend,3,,resources,,research,,"At the start of the status phase, you may purge this card and spend 3 resources to research your Parallel Production faction technology.",40a3a2,40a3a2,40a3a2
GLEdge,,DS+,Lightning Drive Research,Lightning Drives,Have a combined 10 cruisers and destroyers on the game board.,At the start of the status phase,spend,6,,resources,,research,,"At the start of the status phase, you may purge this card and spend 6 resources to research your Lightning Drives faction technology.",a17f3e,a17f3e,a17f3e
GLEdge,,DS+,Orion Research,Orion Platform II,Explore planets that contains 1 of your PDS 4 times over the course of the game. (Track this by placing infantry tokens on this card.),At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Orion Platform II faction technology.",a17f3e,a17f3e,a17f3e
Kyro,,DS+,Indoctrination Research,Indoctrination Team,Have 20 infantry on planets you control.,At the start of the status phase,spend,2,,influence,,research,,"At the start of the status phase, you may purge this card and spend 2 influence to research your Indoctrination Team faction technology.",40a380,40a380,40a380
Kyro,,DS+,Vector Research,Vector Program,Win 6 ground combats over the course of the game. (Track this by placing infantry tokens on this card.),At the start of the status phase,spend,3,,resources,,research,,"At the start of the status phase, you may purge this card and spend 3 resources to research your Vector Program faction technology.",40a380,40a380,40a380
L1z1x,,Base,Inheritance Research,Inheritance Systems,Own at least 5 technologies whose color matches a technology specialty planet you control.,At the start of the status phase,spend,4,,influence,,gain,,"At the start of the status phase, you may purge this card and spend 4 influence to gain your Inheritance Systems faction technology.",443fa2,443fa2,443fa2
L1z1x,,Base,Dreadnought Research,Super Dreadnought II,Produce a total of 5 hits from your bombardment over the course of the game. (Track this by placing infantry tokens on this card.),At the start of the status phase,spend,5,,resources,,research,,"At the start of the status phase, you may purge this card and spend 5 resources to research your Super Dreadnought II faction technology.",443fa2,443fa2,443fa2
Lanefir,,DS+,Thrusters Research,Spark Thrusters,Use your 'Iconoclasm' ability 2 times over the course of the game. (Track this by placing the purged fragments under this card until it is unlocked.),At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Spark Thrusters faction technology.",25823a,25823a,25823a
Lanefir,,DS+,ATS Armaments Research,ATS Armaments,Win a combat against a player with at least 1 relic.,At the start of the status phase,spend,4,,influence,,research,,"At the start of the status phase, you may purge this card and spend 4 influence to research your ATS Armaments faction technology.",25823a,25823a,25823a
Mahact,,PoK,Legionnaire Research,Crimson Legionnaire,Win a ground combat against a player whose token you had in your fleet pool at the start of the combat.,At the start of the status phase,remove,6, of your ,infantry,from the game board and return them to your reinforcements ,research,,"At the start of the status phase, you may purge this card and remove 6 of your  infantry from the game board and return them to your reinforcements to research your Crimson Legionnaire faction technology.",b6bf3f,b6bf3f,b6bf3f
Mahact,,PoK,Genetic Research,Genetic Recombination,Have an agenda resolve the way you voted or predicted.,At the start of the status phase,spend,5,,influence,,research,,"At the start of the status phase, you may purge this card and spend 5 influence to research your Genetic Recombination faction technology.",b6bf3f,b6bf3f,b6bf3f
Mentak,,Base,Salvage Research,Salvage Operations,Produce a total of 2 hits using your ambush ability over the course of the game. (Track this by placing control tokens on this card.),At the start of the status phase,spend,3,,resources,,research,,"At the start of the status phase, you may purge this card and spend 3 resources to research your Salvage Operations faction technology.",786242,786242,786242
Mentak,,Base,Computing Research,Mirror Computing,Use Pillage 5 times over the course of the game. (Track this by placing trade good tokens on this card.),At the start of the status phase,spend,4,,trade goods,,research,,"At the start of the status phase, you may purge this card and spend 4 trade goods to research your Mirror Computing faction technology.",786242,786242,786242
Monks,,DS+,Biothermics Research,Applied Biothermics,Perform 6 component actions over the course of the game. (Track this by placing trade good tokens on this card.),At the start of the status phase,spend,6,,resources,,gain,,"At the start of the status phase, you may purge this card and spend 6 resources to gain your Applied Biothermics faction technology.",808080,808080,808080
Monks,,DS+,Omniscience Research,Omniscience Field,Produce 5 total hits using your units' SPACE CANON ability over the course of the game. (Track this by placing fighter tokens on this card.),At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Omniscience Field faction technology.",808080,808080,808080
Naalu,,Base,Hybrid Crystal Research,Hybrid Crystal Fighter II,Have at least 3 fighters in each of at least 4 systems.,At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Hybrid Crystal Fighter II faction technology.",8c6e41,8c6e41,8c6e41
Naalu,,Base,Neuroglave Research,Neuroglave,Have at least 1 ship in each of at least 8 systems.,At the start of the status phase,spend,5,,influence,,research,,"At the start of the status phase, you may purge this card and spend 5 influence to research your Neuroglave faction technology.",8c6e41,8c6e41,8c6e41
Naaz-Rhoka,,PoK,Supercharge Research,Supercharge,Win 3 combats in systems that contain your mechs over the course of the game. (Track this by placing fighter tokens on this card.),At the start of the status phase,spend,3,,resources,,research,,"At the start of the status phase, you may purge this card and spend 3 resources to research your Supercharge faction technology.",295426,295426,295426
Naaz-Rhoka,,PoK,Pre-Fab Research,Pre-Fab Archeologies,Have a combination of 5 attachments and/or relics in your play area.,At the start of the status phase,spend,6,,influence,,research,,"At the start of the status phase, you may purge this card and spend 6 influence to research your Pre-Fab Archeologies faction technology.",295426,295426,295426
Nokar,,DS+,Contracts Research,Local Contracts,Produce units at least 6 times during the action phase over the course of the game. (Track this by placing infantry tokens on this card.),At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Local Contracts faction technology.",a17c3e,a17c3e,a17c3e
Nokar,,DS+,Sabre Research,Sabre II,Have 10 destroyers on the game board.,At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Sabre II faction technology.",a17c3e,a17c3e,a17c3e
Nomad,,PoK,Memoria Research,Memoria II,Produce your flagship 4 times over the course of the game. (Track this by placing fighter tokens on this card.),At the start of the status phase,spend,4,,influence,,gain,,"At the start of the status phase, you may purge this card and spend 4 influence to gain your Memoria II faction technology.",3f7aa1,3f7aa1,3f7aa1
Nomad,,PoK,Temporality Research,Temporal Command Suite,Exhaust an agent 7 times over the course of the game. (Track this by placing trade good tokens on this card.),At the start of the status phase,spend,3,,influence,,research,,"At the start of the status phase, you may purge this card and spend 3 influence to research your Temporal Command Suite faction technology.",3f7aa1,3f7aa1,3f7aa1
Roh'Dhna,,DS,Contractual Research,Contractual Obligations,Have 4 combined space docks and war suns on the game board.,At the start of the status phase,spend,4,,influence,,research,,"At the start of the status phase, you may purge this card and spend 4 influence to research your Contractual Obligations faction technology.",3d65a0,3d65a0,3d65a0
Roh'Dhna,,DS,Terrafactory Research,Terrafactory II,Produce 8 units using your war suns over the course of the game. (Track this by placing fighter tokens on this card.),At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Terrafactory II faction technology.",3d65a0,3d65a0,3d65a0
Sardakk,,Base,Valkyrie Research,Valkyrie Particle Weave,Have at least 5 of your infantry destroyed in combat over the course of the game. (Track this by placing infantry tokens on this card.),At the start of the status phase,spend,5,,resources,,gain,,"At the start of the status phase, you may purge this card and spend 5 resources to gain your Valkyrie Particle Weave faction technology.",fe0000,fe0000,fe0000
Sardakk,,Base,Exotririem Research,Exotririem II,Have 1 of your dreadnoughts be destroyed during space combat.,At the start of the status phase,spend,4,,resources,,gain,,"At the start of the status phase, you may purge this card and spend 4 resources to gain your Exotririem II faction technology.",fe0000,fe0000,fe0000
Augurs,Y,DS,Psychographics Research,Psychographics,Have 3 scored secret objectives.,At the start of the status phase,spend,6,,influence,,research,,"At the start of the status phase, you may purge this card and spend 6 influence to research your Psychographics faction technology.",633e6f,633e6f,633e6f
Augurs,Y,DS,Sentience Research,Sentient Datapool,"Control 3 planets that are legendary, technology specialties, or Mecatol Rex.",At the end of the status phase,spend,3,,trade goods,,research,,"At the end of the status phase, you may purge this card and spend 3 trade goods to research your Sentient Datapool faction technology.",633e6f,633e6f,633e6f
Celdauri,,DS,Mobilization Research,Emergency Mobilization Protocols,Win 2 combats in systems that contain space docks over the course of the game. (Track this by placing fighter tokens on this card.),At the start of the status phase,remove,1, of your ,space docks,from the game board and return them to your reinforcements ,research,,"At the start of the status phase, you may purge this card and remove 1 of your  space docks from the game board and return them to your reinforcements to research your Emergency Mobilization Protocols faction technology.",838451,838451,838451
Celdauri,,DS,Trade Port Research,Trade Port II,Use the ANTI-FIGHTER BARRAGE ability of each of 4 different unit types over the course of the game. (Track this by placing fighter tokens on units that have used the ability on your faction sheet.),At the start of the status phase,spend,4,,influence,,research,,"At the start of the status phase, you may purge this card and spend 4 influence to research your Trade Port II faction technology.",838451,838451,838451
Dih-Mohn,,DS,Aegis Research,Aegis II,Have 6 of your units become damaged over the course of the game. (Track this by placing fighter tokens on this card.),At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Aegis II faction technology.",9d409a,9d409a,9d409a
Dih-Mohn,,DS,Impressment Research,Impressment Programs,Explore planets 10 times over the course of the game. (Track this by placing trade good tokens on this card.),At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Impressment Programs faction technology.",9d409a,9d409a,9d409a
Florzen,,DS,Blackmail Research,Blackmail Programs,Use the secondary ability of strategy cards 8 times over the course of the game. (Track this by placing trade good tokens on this card.),At the start of the status phase,spend,5,,influence,,research,,"At the start of the status phase, you may purge this card and spend 5 influence to research your Blackmail Programs faction technology.",48797a,48797a,48797a
Florzen,,DS,Corsair Research,Corsair II,Produce a total of 4 hits with your unit abilities over the course of the game. (Track this by placing fighters tokens on this card.),At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Corsair II faction technology.",48797a,48797a,48797a
Free Systems,,DS,Envoy Research,Envoy Network,Have 5 planets readied at the end of the agenda phase.,At the start of the status phase,spend,3,,influence,,research,,"At the start of the status phase, you may purge this card and spend 3 influence to research your Envoy Network faction technology.",49767c,49767c,49767c
Free Systems,,DS,Strike Team Research,Covert Strike Teams,Produce 4 hits during ground combats over the course of the game. (Track this by placing infantry tokens on this card.),At the start of the status phase,remove,4, of your ,infantry,from the game board and return them to your reinforcements ,research,,"At the start of the status phase, you may purge this card and remove 4 of your  infantry from the game board and return them to your reinforcements to research your Covert Strike Teams faction technology.",49767c,49767c,49767c
Ghemina,,DS,Transport Research,Combat Transport II,Win 2 combats in systems that contain your carriers over the course of the game. (Track this by placing fighter tokens on this card.),At the start of the status phase,spend,2,,resources,,research,,"At the start of the status phase, you may purge this card and spend 2 resources to research your Combat Transport II faction technology.",405a90,405a90,405a90
Ghemina,,DS,War Song Research,War Song Implants,Win a combat in a system that contains both of your flagships.,At the start of the status phase,spend,2,,influence,,research,,"At the start of the status phase, you may purge this card and spend 2 influence to research your War Song Implants faction technology.",405a90,405a90,405a90
Glimmer,,DS,Fractal Research,Fractal Plating,"Have a unit in each of 4 systems that contain an anomaly, do not contain a planet, or contain a legendary planet.",At the start of the status phase,spend,4,,influence,,research, ignoring 1 prerequisite,"At the start of the status phase, you may purge this card and spend 4 influence to research your Fractal Plating faction technology ignoring 1 prerequisite.",414691,414691,414691
Glimmer,,DS,Fabrication Research,Fabrication Grid,Explore 3 total frontier tokens over the course of the game. (Track this by placing explored frontier tokens on this card.),At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Fabrication Grid faction technology.",414691,414691,414691
Kollecc,,DS,Seeker Drone Research,Seeker Drones,Explore planets and do not draw a relic fragment or an attachment 6 times over the course of the game. (Track this by placing trade good tokens on this card.),At the start of the status phase,spend,3,,trade goods,,research,,"At the start of the status phase, you may purge this card and spend 3 trade goods to research your Seeker Drones faction technology.",725e54,725e54,725e54
Kollecc,,DS,Shrouded Research,Shrouded Skirmishers,Place captured ships with a combined cost of at least 5 when using your 'Shroud of Lith' ability.,At the start of the status phase,return,2, of your ,captured ships, to your reinforcements ,research,,"At the start of the status phase, you may purge this card and return 2 of your  captured ships  to your reinforcements to research your Shrouded Skirmishers faction technology.",725e54,725e54,725e54
Kortali,,DS,Tempest Research,Tempest Drive,Win 3 combats as the active player over the course of the game. (Track this by placing fighter tokens on this card.),At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Tempest Drive faction technology.",65497b,65497b,65497b
Kortali,,DS,Deliverance Research,Deliverance Engine,Have 4 of your non-fighter ships destroyed during combat over the course of the game. (Track this by placing fighter tokens on this card.),At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Deliverance Engine faction technology.",65497b,65497b,65497b
L'tokk,,DS,Stone Research,Stone's Embrace,Spend 6 tokens from your strategy pool over the course of the game. (Track this by placing trade good tokens on this card.),At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Stone's Embrace faction technology.",906840,906840,906840
L'tokk,,DS,Shattered Sky Research,Shattered Sky II,Place a total of 3 infantry on planets using your 'Meteor Slings' ability over the course of the game. (Track this by placing infantry on this card.),At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Shattered Sky II faction technology.",906840,906840,906840
Li-Zho,,DS,Wraith Engine Research,Wraith Engine,Have a ship in each of 3 non-home systems that are not adjacent to your home system.,At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Wraith Engine faction technology.",927442,927442,927442
Li-Zho,,DS,Heavy Bomber Research,Heavy Bomber II,Produce 4 hits with bombardment over the course of the game. (Track this by placing infantry tokens on this card.),At the start of the status phase,spend,2,,resources,,research,,"At the start of the status phase, you may purge this card and spend 2 resources to research your Heavy Bomber II faction technology.",927442,927442,927442
Mirveda,,DS,Gauss Cannon Research,Gauss Cannon II,Have a PDS in each of 3 systems.,At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Gauss Cannon II faction technology.",92425e,92425e,92425e
Mirveda,,DS,Defense Grid Research,Orbital Defense Grid,Have a command token in each of 4 systems that contain a planet you control.,At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Orbital Defense Grid faction technology.",92425e,92425e,92425e
Myko,,DS,Psychoactive Research,Psychoactive Armaments,Use your 'Divination' faction ability 6 times over the course of the game. (Track this by placing trade good tokens on this card.),At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Psychoactive Armaments faction technology.",924275,924275,924275
Myko,,DS,Mycelium Research,Mycelium Ring II,Use the DEPLOY ability of your space docks 2 times over the course of the game. (Track this by placing infantry tokens on this card.),At the start of the status phase,spend,2,,resources,,research,,"At the start of the status phase, you may purge this card and spend 2 resources to research your Mycelium Ring II faction technology.",924275,924275,924275
Nivyn,,DS,Voidwake Research,Voidwake Missiles,Have 5 of your units become damaged over the course of the game. (Track this by placing fighter tokens on this card.),At the start of the status phase,spend,2,,resources,,research,,"At the start of the status phase, you may purge this card and spend 2 resources to research your Voidwake Missiles faction technology.",767676,767676,767676
Nivyn,,DS,Voidflare Research,Voidflare Warden II,Have a mech in each of 4 systems that contain or are adjacent to the wound token.,At the start of the status phase,spend,2,,resources,,research,,"At the start of the status phase, you may purge this card and spend 2 resources to research your Voidflare Warden II faction technology.",767676,767676,767676
Olradin,,DS,False Research,False Flag Operations,Have 10 planets you control become exhausted over the course of the game. (Track this by placing trade good tokens on this card.),At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your False Flag Operations faction technology.",aea345,aea345,aea345
Olradin,,DS,Geosympathic Research,Geosympathic Impeller,Control 2 planets of each trait.,At the start of the status phase,spend,2,,resources,,research,,"At the start of the status phase, you may purge this card and spend 2 resources to research your Geosympathic Impeller faction technology.",aea345,aea345,aea345
Cymiae,,DS,Abomination Research,Unholy Abomination II,Purge 5 total action cards over the course of the game. (Track this by placing the purged action cards under this card.),At the start of the status phase,spend,3,,resources,,research,,"At the start of the status phase, you may purge this card and spend 3 resources to research your Unholy Abomination II faction technology.",464646,464646,464646
Cymiae,,DS,Recursion Research,Recursive Worm,Use the Primary Ability of the Diplomacy Strategy card.,At the start of the status phase,spend,5,,resources,,research,,"At the start of the status phase, you may purge this card and spend 5 resources to research your Recursive Worm faction technology.",464646,464646,464646
Axis,,DS,Rift Research,Rift Engines,Have 8 non-fighter ships that are not in or adjacent to your home system.,At the start of the status phase,remove,2, of your ,non-fighter ships,from the game board and return them to your reinforcements ,research,,"At the start of the status phase, you may purge this card and remove 2 of your  non-fighter ships from the game board and return them to your reinforcements to research your Rift Engines faction technology.",945f3e,945f3e,945f3e
Axis,,DS,Deployment Research,Emergency Deployment,Place 5 structures on the game board over the course of the game. (Track this by placing trade good tokens on this card.),At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Emergency Deployment faction technology.",945f3e,945f3e,945f3e
Tnelis,,DS,Daedalon Research,Daedalon Flight System,Win 2 different space combats in systems that contain your mechs over the course of the game. (Track this by placing fighter tokens on this card.),At the start of the status phase,spend,2,,resources,,research,,"At the start of the status phase, you may purge this card and spend 2 resources to research your Daedalon Flight System faction technology.",a1863e,a1863e,a1863e
Tnelis,,DS,Blockade Research,Blockade Runner II,Use the deploy ability of your mechs 3 times over the course of the game. (Track this by placing infantry tokens on this card.),At the start of a space combat,spend,4,,resources,,research,,"At the start of a space combat, you may purge this card and spend 4 resources to research your Blockade Runner II faction technology.",a1863e,a1863e,a1863e
Vaden,,DS,Midas Turbine Research,Midas Turbine,Have 4 control tokens on your faction sheet.,At the start of the status phase,spend,4,,trade goods,,research,,"At the start of the status phase, you may purge this card and spend 4 trade goods to research your Midas Turbine faction technology.",3ea157,3ea157,3ea157
Vaden,,DS,Krovoz Research,Krovoz Strike Teams,Destroy another player's unit with SUSTAIN DAMAGE.,At the start of the status phase,spend,5,,influence,,research,,"At the start of the status phase, you may purge this card and spend 5 influence to research your Krovoz Strike Teams faction technology.",3ea157,3ea157,3ea157
Vaylerian,,DS,Scavenger Research,Scavenger Exos,Discard 2 action cards using your 'Scour' ability over the course of the game. (Track this by placing infantry tokens on this card.),At the start of the status phase,spend,4,,influence,,research,,"At the start of the status phase, you may purge this card and spend 4 influence to research your Scavenger Exos faction technology.",3da09b,3da09b,3da09b
Vaylerian,,DS,Raider Research,Raider II,Win 3 combats in systems that contain your cruisers over the course of the game. (Track this by placing fighter tokens on this card.),At the start of the status phase,spend,2,,resources,,research,,"At the start of the status phase, you may purge this card and spend 2 resources to research your Raider II faction technology.",3da09b,3da09b,3da09b
Veldyr,,DS,SEIDR Research,SEIDR Project,Produce 3 hits with your units' SPACE CANNON ability over the course of the game. (Track this by placing fighter tokens on this card.),At the start of the status phase,spend,4,,influence,,research,,"At the start of the status phase, you may purge this card and spend 4 influence to research your SEIDR Project faction technology.",48a8b5,48a8b5,48a8b5
